Date,Open,High,Low,Close,Volume,ma_short,ma_long,macd,macd_signal,macd_histogram,signal,position_change,active_position,total_exposure,market_return,active_return,market_equity,active_equity,portfolio_equity,portfolio_return,buy_hold_weight,active_weight
2024-01-02,74775.27318231785,76305.20204538316,74775.27318231785,76113.9609375,17142847.0,,,0.0,0.0,0.0,0,0.0,0,0.5,,,1.0,1.0,1.0,,0.5,0.5
2024-01-03,75062.1364650974,75348.99813311688,73627.828125,73627.828125,21753644.0,,,-198.32398504271987,-39.66479700854398,-158.65918803417588,0,0.0,0,0.5,-0.0326632956934334,-0.0,0.9673367043065666,1.0,0.9836683521532833,-0.0163316478467167,0.5,0.5
2024-01-04,72767.24098400783,73914.68762238903,72767.24098400783,73245.34375,15324439.0,,,-381.9574962865445,-108.12333686414408,-273.8341594224004,0,0.0,0,0.5,-0.0051948344089498555,-0.0,0.9623115503099947,1.0,0.9811557751549973,-0.0025542928089390404,0.5,0.5
2024-01-05,73340.96430319843,73723.44651599217,73054.10264360314,73245.34375,11304316.0,,,-521.4771134002367,-190.79409217136262,-330.68302122887405,0,0.0,0,0.5,0.0,0.0,0.9623115503099947,1.0,0.9811557751549973,0.0,0.5,0.5
2024-01-08,73627.8293504902,74105.93213848039,73054.10600490196,73149.7265625,11088724.0,,,-632.4721775103826,-279.12970923916663,-353.342468271216,0,0.0,0,0.5,-0.001305437077698146,-0.0,0.9610553131319228,1.0,0.9805276565659614,-0.0006401823287812691,0.5,0.5
2024-01-09,74010.3015813253,74297.16321536145,71046.06469628515,71428.546875,26019249.0,,,-849.5285455167905,-393.20947649469144,-456.31906902209903,0,0.0,0,0.5,-0.02352954369596183,-0.0,0.938442120147349,1.0,0.9692210600736745,-0.01153113470749545,0.5,0.5
2024-01-10,71715.41429602582,71906.65540081522,69994.24435292119,70376.7265625,20259529.0,,,-1093.811610387711,-533.3299032732954,-560.4817071144156,0,0.0,0,0.5,-0.014725489436887007,-0.0,0.9246231006199893,1.0,0.9623115503099946,-0.007128930693225621,0.5,0.5
2024-01-11,69707.38053919058,70376.7243852459,69516.13944031762,69994.2421875,57691266.0,,,-1303.2479605243425,-687.3135147235048,-615.9344458008377,0,0.0,0,0.5,-0.005434813377691361,-0.0,0.9195979466234173,1.0,0.9597989733117087,-0.0026109808174665794,0.5,0.5
2024-01-12,69803.00444596443,70854.83054035567,69611.7633378933,69898.625,13038939.0,,,-1460.1120223348262,-841.8732162457691,-618.2388060890571,0,0.0,0,0.5,-0.0013660721869644954,-0.0,0.9183417094453454,1.0,0.9591708547226727,-0.0006544272358082193,0.5,0.5
2024-01-15,69994.24983085251,70759.21430987821,69994.24983085251,70663.59375,2957915.0,,,-1505.3486146668438,-974.5682959299841,-530.7803187368597,0,0.0,0,0.5,0.01094397421980764,0.0,0.9283920174384894,1.0,0.9641960087192447,0.0052390603528345014,0.5,0.5
