Date,Close,High,Low,Open,Volume,short_sma,long_sma,signal,position_change,market_return,strategy_return,market_equity,strategy_equity
2020-01-02,5.9707536697387695,5.9707536697387695,5.891363041927383,5.941884393688347,237536000,,,0,0.0,,,1.0,1.0
2020-01-03,5.875185012817383,5.918987107245457,5.826156572578925,5.8510441370196675,205384000,,,0,0.0,-0.016006129578875816,-0.0,0.9839938704211242,1.0
2020-01-06,5.899824619293213,5.905050966215078,5.75572649719555,5.781858231804876,262636000,,,0,0.0,0.0041938434997494944,0.0,0.9881205867183832,1.0
2020-01-07,5.971252918243408,6.017045883969803,5.88315121870379,5.928197495492935,314856000,,,0,0.0,0.012106851230223814,0.0,1.000083615659304,1.0
2020-01-08,5.982452392578125,6.023765699991168,5.926953419217713,5.967022086819687,277108000,,,0,0.0,0.0018755652269393241,0.0,1.0019593377128664,1.0
2020-01-09,6.048155784606934,6.120578447141136,5.994398923133045,6.068812439887454,255112000,,,0,0.0,0.010982685313187135,0.0,1.0129635418155762,1.0
2020-01-10,6.080507755279541,6.185781859126946,6.066322091859231,6.155419203881554,316296000,,,0,0.0,0.005349063718719904,0.0,1.018381948345488,1.0
2020-01-13,6.27114725112915,6.296283564365258,6.140985551163511,6.163633534107025,319840000,,,0,0.0,0.03135256191131108,0.0,1.0503108314303513,1.0
2020-01-14,6.154176235198975,6.253726060605366,6.140985521380732,6.228340534710304,359088000,,,0,0.0,-0.018652251533260444,-0.0,1.0307201696144044,1.0
2020-01-15,6.111616611480713,6.189265596413675,6.085733616503059,6.166866832502594,263104000,,,0,0.0,-0.006915567915465437,-0.0,1.0235921542795958,1.0
2020-01-16,6.195239067077637,6.201212102853012,6.141730957829296,6.165125150161636,284192000,,,0,0.0,0.013682542756336957,0.0,1.0375974976955775,1.0
2020-01-17,6.203951835632324,6.22187094928471,6.156416745377318,6.214404533256779,253792000,,,0,0.0,0.0014063651879050454,0.0,1.039056738695394,1.0
2020-01-21,6.1706013679504395,6.20419951976106,6.136505265317551,6.167365874333107,217916000,,,0,0.0,-0.0053756812698539935,-0.0,1.0334711008468735,1.0
2020-01-22,6.224607467651367,6.3112157906714685,6.196982349995887,6.215896887732162,239240000,,,0,0.0,0.00875216149619229,0.0,1.042516206823133,1.0
2020-01-23,6.2930474281311035,6.301509269273523,6.175827715920401,6.264676098533878,244516000,,,0,0.0,0.010995064481641892,0.0,1.0539787397403102,1.0
2020-01-24,6.233814716339111,6.458299843381298,6.179559919221518,6.408524704344975,373512000,,,0,0.0,-0.009412405113492506,-0.0,1.044058264860866,1.0
2020-01-27,5.977972507476807,6.028991819907899,5.779619081655654,5.929192787115326,470536000,,,0,0.0,-0.0410410351452587,-0.0,1.0012090329190135,1.0
2020-01-28,6.1713480949401855,6.203701607240368,5.99066457305883,6.043923950276957,310976000,,,0,0.0,0.032348022213471106,0.0,1.0335961649562058,1.0
2020-01-29,6.110870838165283,6.192999486865854,6.071050441358389,6.156912534107337,258848000,,,0,0.0,-0.009799683285486194,-0.0,1.0234672498945419,1.0
2020-01-30,6.117590427398682,6.131029877336464,5.9580619920465185,6.013063007373622,290504000,,,0,0.0,0.0010996123811735092,0.0,1.0245926671542516,1.0
2020-01-31,5.884143829345703,6.083741329262768,5.842333066399885,6.0717952613666,370420000,,,0,0.0,-0.03815989331476777,-0.0,0.985494320284552,1.0
2020-02-03,5.981206893920898,6.0006189034883555,5.859755803690975,5.86597757728614,255564000,,,0,0.0,0.016495698845959028,0.0,1.001750737806369,1.0
2020-02-04,6.150442123413086,6.169605872146606,6.073042338363258,6.123066221076983,271544000,,,0,0.0,0.028294495156854227,0.0,1.0300947692056064,1.0
2020-02-05,6.24078369140625,6.281599042941354,6.15741039787647,6.2713950863848416,208220000,,,0,0.0,0.014688629887152027,0.0,1.045225450019159,1.0
2020-02-06,6.32764196395874,6.32764196395874,6.193996500071519,6.275129742702018,218284000,,,0,0.0,0.01391784699605858,0.0,1.0597727379089121,1.0
2020-02-07,6.261439323425293,6.3097210809777176,6.236053805193534,6.287571055701337,189752000,,,0,0.0,-0.010462450453190497,-0.0,1.048684918146898,1.0
2020-02-10,6.5446600914001465,6.545406305582232,6.279110375824013,6.284087985183651,529608000,,,0,0.0,0.04523253414199324,0.0,1.096119594511171,1.0
2020-02-11,6.667105197906494,6.781836561422516,6.5909495893900365,6.652919535414561,638556000,,,0,0.0,0.018709162094948883,0.0,1.11662707368033,1.0
2020-02-12,6.782832622528076,6.789303609316135,6.6810427471678455,6.719867243823403,374644000,,,0,0.0,0.017357971891297064,0.0,1.1360094550383346,1.0
2020-02-13,6.7390313148498535,6.806227621791376,6.6974692706660415,6.724845649351327,528016000,,,0,0.0,-0.006457671907271312,-0.0,1.128673478694139,1.0
2020-02-14,7.212143421173096,7.3410604904041845,7.1178199366820465,7.14917802724584,1041924000,,,0,0.0,0.07020476448606372,0.0,1.2079117344475274,1.0
2020-02-18,7.380878448486328,7.399295506798921,7.089446230395402,7.108858240876231,620164000,,,0,0.0,0.023395961153222178,0.0,1.236171990463183,1.0
2020-02-19,7.832087993621826,7.849758362409394,7.503324670683781,7.503324670683781,694332000,,,0,0.0,0.06113222813309327,0.0,1.3117419385959181,1.0
2020-02-20,7.682764053344727,7.872406404086642,7.375403572712378,7.784055978174739,810052000,,,0,0.0,-0.0190656617237579,-0.0,1.286732710525782,1.0
2020-02-21,7.318660259246826,7.595658094730664,7.2337940614080205,7.570521784732128,768180000,,,0,0.0,-0.04739229157237834,-0.0,1.2257514987328275,1.0
2020-02-24,6.801249027252197,7.015032728613473,6.669843188096239,6.724346724805658,856916000,,,0,0.0,-0.07069753392923261,-0.0,1.1390938905623558,1.0
2020-02-25,6.521763324737549,6.938379636288666,6.41997344513621,6.876409681886865,1055496000,,,0,0.0,-0.04109329056983002,-0.0,1.0922847743311588,1.0
2020-02-26,6.661132335662842,6.855254805834206,6.52051844783171,6.522011350712756,747732000,,,0,0.0,0.02136983573087603,0.0,1.1156267205299526,1.0
2020-02-27,6.2903361320495605,6.6489302455680726,6.197948305148538,6.347611445500659,906416000,,,0,0.0,-0.05566564135471175,-0.0,1.053524643619199,1.0
2020-02-28,6.725381851196289,6.78489858460974,6.021143174384864,6.037827618697656,1133252000,,,0,0.0,0.0691609653306362,0.0,1.1263874249715173,1.0
2020-03-02,6.883759498596191,6.912646518267532,6.4995162543980625,6.895463828543595,890744000,,,0,0.0,0.023549242393088976,0.0,1.152912995470699,1.0
2020-03-03,6.621288776397705,6.999306519580371,6.535873577697565,6.939540911663828,652792000,,,0,0.0,-0.038128979121367035,-0.0,1.1089535999376439,1.0
2020-03-04,7.084970951080322,7.094433875085668,6.653910847652948,6.728618217428023,597408000,,,0,0.0,0.07002899138540242,0.0,1.1866125020344882,1.0
2020-03-05,6.805567741394043,7.052349995369933,6.760992293337809,6.8855041236938455,540328000,,,0,0.0,-0.0394360416740559,-0.0,1.1398172019533004,1.0
2020-03-06,6.62502384185791,6.683544539537678,6.424808655737229,6.626019864056424,515412000,,,0,0.0,-0.026528852021852067,-0.0,1.1095791600707199,1.0
2020-03-09,6.112034797668457,6.459671686540949,5.931243723511115,5.974075523944306,614160000,,,0,0.0,-0.07743202989675446,-0.0,1.0236621933753083,1.0
2020-03-10,6.501510143280029,6.501510143280029,6.125733693932417,6.388453275544626,580648000,,,0,0.0,0.06372269767838112,0.0,1.0888927098485515,1.0
2020-03-11,6.1376848220825195,6.38994586331887,6.04056576513006,6.361557091677806,499964000,,,0,0.0,-0.055960125137012984,-0.0,1.0279581375446454,1.0
2020-03-12,5.386630058288574,5.879945599168345,5.373929705464922,5.614486423807878,816540000,,,0,0.0,-0.12236776334486199,-0.0,0.9021691994411571,1.0
2020-03-13,5.997486114501953,6.001968453269263,5.468809052368044,5.73999553502742,634836000,6.404515132904053,,0,0.0,0.11340226627841954,0.0,1.004477231224372,1.0
2020-03-16,4.890824317932129,5.630424859985046,4.831058699125566,5.289511138473872,726972000,6.38291654586792,,0,0.0,-0.18452094351563564,-0.0,0.8191301447788776,1.0
2020-03-17,5.41053581237793,5.4999355774252425,4.756351060498618,5.003133264971401,833632000,6.373623561859131,,0,0.0,0.10626255630166215,0.0,0.9061730079068318,1.0
2020-03-18,5.05069637298584,5.228001143281701,4.499358442377343,4.982962115786236,874268000,6.356640996932984,,0,0.0,-0.06650717264801553,-0.0,0.8459060032210005,1.0
2020-03-19,5.3034563064575195,5.397089051683916,4.815868008217613,5.029280865027534,765512000,6.343285064697266,,0,0.0,0.05004457104639903,0.0,0.8882390062977693,1.0
2020-03-20,5.123661041259766,5.735511767463592,5.108221508815818,5.453617044388222,804636000,6.326109237670899,,0,0.0,-0.033901526628744794,-0.0,0.8581263479730756,1.0
2020-03-23,5.296483516693115,5.390863877993336,4.943617068293397,5.122665029285088,643876000,6.311075792312622,,0,0.0,0.03373027099990544,0.0,0.8870711822423666,1.0
2020-03-24,6.20517110824585,6.291831706746178,5.6789843958835755,5.702641471566112,1101644000,6.3135690593719485,,0,0.0,0.17156431973946318,0.0,1.0392609461842597,1.0
2020-03-25,6.116518497467041,6.51993651399452,6.067709603569407,6.320219550387866,793432000,6.3104764842987064,,0,0.0,-0.014286892211723412,-0.0,1.0244131370662715,1.0
2020-03-26,6.405884265899658,6.529897835657393,6.2255909210386315,6.323706009766051,696108000,6.315510644912719,,0,0.0,0.04730890106070129,0.0,1.0728769968130223,1.0
2020-03-27,6.293574810028076,6.552310269100053,6.192720061989183,6.225591175797797,638828000,6.319149808883667,,0,0.0,-0.01753223305476137,-0.0,1.054067067265804,1.0
2020-03-30,6.613819122314453,6.623033160753268,6.314990552407411,6.359067749844578,602252000,6.327521409988403,,0,0.0,0.05088432599166137,0.0,1.1077025595336316,1.0
2020-03-31,6.564262390136719,6.858110320495774,6.418583333995227,6.653910565095111,949960000,6.334727621078491,,0,0.0,-0.007492907087606082,-0.0,1.0994026471743428,1.0
2020-04-01,6.0530171394348145,6.512714924766712,6.0084421721262595,6.366289194622449,656912000,6.332375936508178,,0,0.0,-0.07788312232461758,-0.0,1.013777736320455,1.0
2020-04-02,6.361806392669678,6.37500451862211,6.034091325317394,6.082152604719587,675764000,6.335119915008545,,0,0.0,0.051014105217566774,0.0,1.0654947004283333,1.0
2020-04-03,6.073936462402344,6.3657919462324255,5.9364753864927104,6.324205039342323,663212000,6.33073769569397,,0,0.0,-0.04524971564664859,-0.0,1.01728136821094,1.0
2020-04-06,6.683794021606445,6.720649696082763,6.2985542597634785,6.356078940367916,727884000,6.339737281799317,,0,0.0,0.10040565339777907,0.0,1.1194221686755461,1.0
2020-04-07,6.450458526611328,6.9290821244683904,6.40737735857138,6.9054245775815115,784520000,6.349187002182007,,0,0.0,-0.034910635223171504,-0.0,1.0803424296841826,1.0
2020-04-08,6.647686004638672,6.672588463674239,6.489555935983957,6.559531613136199,542444000,6.358713760375976,,0,0.0,0.03057572995992186,0.0,1.113374688078452,1.0
2020-04-09,6.548075199127197,6.796351649251592,6.485072167404843,6.77344171497517,525564000,6.367457847595215,,0,0.0,-0.014984282567192198,-0.0,1.096691567149125,1.0
2020-04-13,6.719902992248535,6.728618781540111,6.399907656900976,6.4883109339869005,398408000,6.379504098892212,,0,0.0,0.026240962098944998,0.0,1.125469808996918,1.0
2020-04-14,7.071025848388672,7.105141867954812,6.8205079558991155,6.848149593092248,530948000,6.403241739273072,,0,0.0,0.052251179302016615,0.0,1.1842769337858223,1.0
2020-04-15,6.993578910827637,7.076503817829352,6.857612138751561,6.902934237785307,366148000,6.423489179611206,,0,0.0,-0.010952715945548919,-0.0,1.1713058849292006,1.0
2020-04-16,7.33872652053833,7.445806762036778,7.135772595346985,7.148970722910891,745620000,6.447254867553711,,0,0.0,0.04935207196651881,0.0,1.2291122572570334,1.0
2020-04-17,7.279459476470947,7.442320777549322,7.145484725210247,7.4209046333013475,539120000,6.468028383255005,,0,0.0,-0.00807593032681031,-0.0,1.219186032303597,1.0
2020-04-20,7.14822244644165,7.3088427830521985,7.103896370864844,7.152954145646521,449388000,6.484439992904663,,0,0.0,-0.01802840313260734,-0.0,1.1972060550195838,1.0
