Date,Open,High,Low,Close,Volume,ma_short,ma_long,macd,macd_signal,macd_histogram,signal,position_change,active_position,total_exposure,market_return,active_return,market_equity,active_equity,portfolio_equity,portfolio_return,buy_hold_weight,active_weight
2020-01-02,5.941884393688347,5.9707536697387695,5.891363041927383,5.9707536697387695,237536000,,,0.0,0.0,0.0,0,0.0,0,0.5,,,1.0,1.0,1.0,,0.5,0.5
2020-01-03,5.851045086775378,5.918988068029837,5.826157518294826,5.875185966491699,205384000,,,-0.007623634447059935,-0.001524726889411987,-0.0060989075576479475,0,0.0,0,0.5,-0.016005969854598234,-0.0,0.9839940301454018,1.0,0.9919970150727009,-0.008002984927299117,0.5,0.5
2020-01-06,5.781858699107725,5.905051443474641,5.7557269623863725,5.899825096130371,262636000,,,-0.011544173778314182,-0.003528616267192426,-0.008015557511121756,0,0.0,0,0.5,0.004193761657792283,0.0,0.988120666580522,1.0,0.994060333290261,0.0020799641392155177,0.5,0.5
2020-01-07,5.928197022093987,6.017045403475826,5.883150748902034,5.97125244140625,314856000,,,-0.008786355981326821,-0.004580164210019305,-0.004206191771307516,0,0.0,0,0.5,0.012106688607214311,0.0,1.0000835357971654,1.0,1.0000417678985827,0.00601717462009943,0.5,0.5
2020-01-08,5.967022086819687,6.023765699991168,5.926953419217713,5.982452392578125,277108000,,,-0.0056320997109295945,-0.004790551310201363,-0.0008415484007282311,0,0.0,0,0.5,0.001875645232181311,0.0,1.0019593377128664,1.0,1.0009796688564332,0.000937861785334615,0.5,0.5
2020-01-09,6.06881052602453,6.120576516953265,5.994397032737195,6.048153877258301,255112000,,,0.0021445112413447376,-0.003403538799892143,0.005548050041236881,0,0.0,0,0.5,0.01098236648931561,0.0,1.012963222367021,1.0,1.0064816111835104,0.005496557520856538,0.5,0.5
2020-01-10,6.155418238458034,6.185780888941309,6.066321140409811,6.080506801605225,316296000,,,0.010793718787279971,-0.0005640872824577204,0.011357806069737691,0,0.0,0,0.5,0.005349223085836963,0.0,1.0183817886212105,1.0,1.0091908943106054,0.002691835694751621,0.5,0.5
2020-01-13,6.163633534107025,6.296283564365258,6.140985551163511,6.27114725112915,319840000,,,0.0326549432506793,0.006079718824169684,0.026575224426509617,0,0.0,0,0.5,0.03135272366994113,0.0,1.0503108314303518,1.0,1.0251554157151759,0.015819129457639525,0.5,0.5
2020-01-14,6.228339569543208,6.2537250915044345,6.140984569750498,6.154175281524658,359088000,,,0.040079449819073076,0.012879665023150362,0.027199784795922714,0,0.0,0,0.5,-0.01865240360660181,-0.0,1.0307200098901272,1.0,1.0153600049450637,-0.009555049527079418,0.5,0.5
2020-01-15,6.166867313650455,6.189266079309119,6.085734091320788,6.111617088317871,263104000,,,0.042044669469336604,0.018712665912387613,0.02333200355694899,0,0.0,0,0.5,-0.006915336541445383,-0.0,1.0235922341417352,1.0,1.0117961170708676,-0.0035099746462723402,0.5,0.5
2020-01-16,6.165126099200316,6.201213057446798,6.141731903266754,6.195240020751953,284192000,,,0.049776005179021254,0.024925333765714344,0.02485067141330691,0,0.0,0,0.5,0.013682619710243982,0.0,1.0375976574198555,1.0,1.0187988287099277,0.006921069888400799,0.5,0.5
2020-01-17,6.2144031003351135,6.221869514641433,6.156415325826517,6.20395040512085,253792000,,,0.05596091703593409,0.031132450419758297,0.02482846661617579,0,0.0,0,0.5,0.0014059801298609287,0.0,1.0390564991089781,1.0,1.019528249554489,0.000715961604986326,0.5,0.5
2020-01-21,6.167365397745973,6.204199040327583,6.13650479111519,6.170600891113281,217916000,,,0.05750855435871305,0.036407671207549244,0.021100883151163805,0,0.0,0,0.5,-0.00537552878888925,-0.0,1.0334710209847353,1.0,1.0167355104923677,-0.002739246375313087,0.5,0.5
2020-01-22,6.215896887732162,6.3112157906714685,6.196982349995887,6.224607467651367,239240000,,,0.06237393951368553,0.041600924868776507,0.02077301464490902,0,0.0,0,0.5,0.008752239448165389,0.0,1.0425162068231337,1.0,1.0212581034115669,0.0044481508440765705,0.5,0.5
2020-01-23,6.264675623846474,6.301508791795194,6.175827247965222,6.293046951293945,244516000,,,0.07093459678307301,0.04746765925163581,0.0234669375314372,0,0.0,0,0.5,0.01099498787646458,0.0,1.053978659878172,1.0,1.026989329939086,0.005611927590462917,0.5,0.5
2020-01-24,6.4085242141438945,6.458299349372817,6.17955944653442,6.233814239501953,373512000,,,0.07210817636077493,0.05239576267346364,0.019712413687311296,0,0.0,0,0.5,-0.009412405826689896,-0.0,1.0440581849987278,1.0,1.022029092499364,-0.004829882156629828,0.5,0.5
2020-01-27,5.929191841222907,6.0289908580944,5.779618159624937,5.97797155380249,470536000,,,0.051796798807612454,0.0522759699002934,-0.0004791710926809467,0,0.0,0,0.5,-0.041041114776609544,-0.0,1.0012088731947364,1.0,1.000604436597368,-0.0209628630527553,0.5,0.5
2020-01-28,6.043923483285389,6.203701127903374,5.990664110182417,6.171347618103027,310976000,,,0.05071906028358164,0.051964587976951054,-0.0012455276933694137,0,0.0,0,0.5,0.03234810713970915,0.0,1.033596085094067,1.0,1.0167980425470335,0.016183823854242663,0.5,0.5
2020-01-29,6.156912053677501,6.192999003620118,6.071049967628455,6.110870361328125,258848000,,,0.04447228670825343,0.05046612772321153,-0.005993841014958104,0,0.0,0,0.5,-0.009799684042671397,-0.0,1.0234671700324032,1.0,1.0117335850162017,-0.004980790008353719,0.5,0.5
