Date,Open,High,Low,Close,Volume,short_sma,long_sma,rsi,entry_price,stop_price,exit_reason,signal,position_change,market_return,strategy_return,market_equity,strategy_equity
2024-01-29,70567.97196320564,71906.6597782258,70281.11028855847,71141.6953125,13976521.0,,,48.80004549218822,,,,0,0.0,0.013623942715191184,0.0,0.934673504550024,1.0
2024-01-30,71715.41417816286,72002.2758348755,70472.3469990747,71046.0703125,12244418.0,,,53.043465905054205,,,,0,0.0,-0.0013441484572437323,-0.0,0.9334171646008564,1.0
2024-01-31,70185.47659473865,70759.1998366575,69324.89173186038,69516.1328125,15703560.0,,,48.03147681377033,,,,0,0.0,-0.021534442274857568,-0.0,0.913316546551398,1.0
2024-02-01,69803.00324813179,70950.44987686821,69707.38269573709,70376.7265625,19881033.0,,,51.851838402838176,,,,0,0.0,0.0123797702084667,0.0,0.9246231955252947,1.0
2024-02-02,70759.21729554521,71906.6640625,70472.35560380651,71906.6640625,14955881.0,,,54.54544415731037,,,,0,0.0,0.021739253510765444,0.0,0.9447238135747531,1.0
2024-02-05,70950.44976026245,71524.17307368775,70281.10589459959,71046.0703125,19026021.0,,,56.11506562667152,,,,0,0.0,-0.011968205745881755,-0.0,0.9334171646008564,1.0
2024-02-06,71046.07475428427,71428.55698714718,70089.86917212702,71141.6953125,14559254.0,,,63.7096024969378,,,,0,0.0,0.0013459576241077187,0.0,0.934673504550024,1.0
2024-02-07,71332.93185416667,72193.51682291666,71046.07019791666,71715.4140625,16566445.0,,,63.41457096169941,,,,0,0.0,0.008064451479260715,0.0,0.9422111336764182,1.0
2024-02-08,71715.4130819838,71906.65418353576,70376.7253711201,70854.828125,20810708.0,,,47.05887064734002,,,,0,0.0,-0.012000013508253637,-0.0,0.9309045873446742,1.0
2024-02-13,71524.1818068484,71906.6640625,71141.69955119681,71906.6640625,21966745.0,,,50.45877061019751,,,,0,0.0,0.014844943743909544,0.0,0.9447238135747532,1.0
2024-02-14,70472.33370988176,71046.05691511824,70472.33370988176,70759.1953125,12434945.0,,,44.99994553169239,,,,0,0.0,-0.015957752524893065,-0.0,0.9296481447533541,1.0
2024-02-15,70950.44768186475,71141.6887807377,69803.00108862705,69994.2421875,14120600.0,,,46.55179457127925,,,,0,0.0,-0.010810653253215619,-0.0,0.9195980410129304,1.0
2024-02-16,70089.86054472871,70185.48109117446,69324.89617316278,69611.7578125,13444781.0,,,44.5378266651745,,,,0,0.0,-0.005464511980505571,-0.0,0.9145728865005658,1.0
2024-02-19,69611.77091802168,70663.59712694783,69611.77091802168,70567.9765625,12726404.0,,,51.63934316443658,,,,0,0.0,0.013736454588254787,0.0,0.9271358754236299,1.0
2024-02-20,70472.34940953273,70472.34940953273,69611.76440995907,70089.8671875,14681477.0,,,45.29917096361513,,,,0,0.0,-0.006775160608106012,-0.0,0.9208543809620978,1.0
2024-02-21,70185.48219178083,70472.34383561644,69707.3794520548,69803.0,11503495.0,,,44.53784166596293,,,,0,0.0,-0.0040928482106064035,-0.0,0.917085463756748,1.0
2024-02-22,70567.96887824897,70663.58943228454,69516.14278385774,69898.625,15208934.0,,,51.92311167080809,,,,0,0.0,0.0013699267939772941,0.0,0.9183418037059154,1.0
2024-02-23,70376.72668038409,70950.44999571331,69707.3828125,69707.3828125,16225166.0,,,46.39178123268034,,,,0,0.0,-0.00273599355495191,-0.0,0.9158292264497332,1.0
2024-02-26,69133.65508027129,69994.23999828297,69038.03453382556,69611.7578125,14669352.0,,,35.36589740166315,,,,0,0.0,-0.0013718059141197836,-0.0,0.9145728865005657,1.0
2024-02-27,69898.62391760974,70185.48557527435,69516.14170739026,69707.3828125,13201981.0,,,40.540627077063036,,,,0,0.0,0.001373690350666923,0.0,0.9158292264497331,1.0
2024-02-28,69707.38053919058,70663.58603355533,69611.7599897541,69994.2421875,11795859.0,,,42.10528013210005,,,,0,0.0,0.0041151935910661575,0.0,0.9195980410129301,1.0
2024-02-29,69420.52769499319,70185.4921875,68846.80432561308,70185.4921875,21176403.0,,,38.889052797850326,,,,0,0.0,0.002732367606576469,0.0,0.922110720911265,1.0
2024-03-04,71046.06578563084,71715.40960864486,70759.20414719626,71619.7890625,23210474.0,,,55.12814201153682,,,,0,0.0,0.020435802760608857,0.0,0.9409547937272504,1.0
2024-03-05,71332.93658836499,71524.17770522388,70472.3515625,70472.3515625,19505125.0,,,40.506350059984285,,,,0,0.0,-0.016021235401833867,-0.0,0.9258795354744621,1.0
2024-03-06,69994.24447016462,70281.10612782922,69516.14170739026,69707.3828125,21547905.0,,,42.66678286635584,,,,0,0.0,-0.010854877594393408,-0.0,0.915829226449733,1.0
