Date,Open,High,Low,Close,Volume,ma_short,ma_long,macd,macd_signal,macd_histogram,signal,position_change,active_position,total_exposure,market_return,active_return,market_equity,active_equity,portfolio_equity,portfolio_return,buy_hold_weight,active_weight
2024-01-02,137367.82426264044,140416.07233146066,137367.82426264044,140022.75,2147458.0,,,0.0,0.0,0.0,0,0.0,0,0.5,,,1.0,1.0,1.0,,0.5,0.5
2024-01-03,137662.84493786548,138449.48976608185,134516.265625,134516.265625,3257820.0,,,-439.2637108261988,-87.85274216523976,-351.41096866095904,0,0.0,0,0.5,-0.03932564083336454,-0.0,0.9606743591666355,1.0,0.9803371795833178,-0.019662820416682214,0.5,0.5
2024-01-04,134516.2442265396,136482.85598423754,133532.93834769062,134122.921875,2661970.0,,,-809.7881855666637,-232.23983084552458,-577.5483547211392,0,0.0,0,0.5,-0.002924135220171431,-0.0,0.9578652174378807,1.0,0.9789326087189403,-0.0014327426253225584,0.5,0.5
2024-01-05,133532.94245454547,135204.5625,133532.94245454547,135204.5625,1846781.0,,,-1004.5720610975986,-386.70627689593937,-617.8657842016593,0,0.0,0,0.5,0.008064547132428768,0.0,0.9655899666304226,1.0,0.9827949833152113,0.003945495902241358,0.5,0.5
2024-01-08,135204.53670726102,135597.85899586396,133139.5946920956,133729.578125,2498302.0,,,-1263.394967156346,-562.0440149480207,-701.3509522083252,0,0.0,0,0.5,-0.010909279596241439,-0.0,0.9550560757091259,1.0,0.977528037854563,-0.0053591497210147,0.5,0.5
2024-01-09,136679.50805131005,137171.16095796943,134319.574099345,135106.21875,3473806.0,,,-1341.9612970638555,-718.0274713711877,-623.9338256926677,0,0.0,0,0.5,0.010294211978394419,0.0,0.9648876254037291,1.0,0.9824438127018645,0.005028781433308538,0.5,0.5
2024-01-10,135401.19648876405,135794.51877340823,129894.68450374532,131271.3125,3769252.0,,,-1694.1415550020465,-913.2502880973595,-780.891266904687,0,0.0,0,0.5,-0.028384379975107565,-0.0,0.9374998884109904,1.0,0.9687499442054952,-0.013938576760648691,0.5,0.5
2024-01-11,130189.67752757353,134811.21441865808,130189.67752757353,133729.578125,3594909.0,,,-1754.6588405091607,-1081.5319985797198,-673.1268419294408,0,0.0,0,0.5,0.018726602013672933,0.0,0.9550560757091258,1.0,0.9775280378545629,0.009061258482204959,0.5,0.5
2024-01-12,134122.9000279642,135007.8751747763,131172.98287192394,131861.296875,1878915.0,,,-1931.113236954814,-1251.4482462547387,-679.6649907000754,0,0.0,0,0.5,-0.013970591070388894,-0.0,0.9417133778261032,1.0,0.9708566889130517,-0.006824713648268532,0.5,0.5
2024-01-15,132549.61087807606,132844.6025936801,131271.31344379197,131861.296875,353911.0,,,-2047.353995002457,-1410.6293960042824,-636.7245989981745,0,0.0,0,0.5,0.0,0.0,0.9417133778261032,1.0,0.9708566889130517,0.0,0.5,0.5
