Date,Open,High,Low,Close,Volume,short_sma,long_sma,rsi,entry_price,stop_price,exit_reason,signal,position_change,market_return,strategy_return,market_equity,strategy_equity
2024-01-02,2645.469970703125,2675.800048828125,2641.8798828125,2669.81005859375,409900.0,,,,,,,0,0.0,,,1.0,1.0
2024-01-03,2643.5400390625,2643.719970703125,2607.31005859375,2607.31005859375,463100.0,,,,,,,0,0.0,-0.02340990506003271,-0.0,0.9765900949399673,1.0
2024-01-04,2592.43994140625,2602.639892578125,2580.090087890625,2587.02001953125,770200.0,,,,,,,0,0.0,-0.007781981661760362,-0.0,0.9689902887300876,1.0
2024-01-05,2586.889892578125,2592.2900390625,2572.60009765625,2578.080078125,520500.0,,,,,,,0,0.0,-0.003455690848449544,-0.0,0.9656417578570866,1.0
2024-01-08,2584.22998046875,2591.679931640625,2566.340087890625,2567.820068359375,320100.0,,,,,,,0,0.0,-0.0039797094949381995,-0.0,0.9617987841846339,1.0
2024-01-09,2598.31005859375,2599.3701171875,2556.0,2561.239990234375,790300.0,,,,,,,0,0.0,-0.0025625152658005357,-0.0,0.9593341601175324,1.0
2024-01-10,2563.969970703125,2568.18994140625,2539.820068359375,2541.97998046875,570000.0,,,,,,,0,0.0,-0.007519798940771039,-0.0,0.9521201601164351,1.0
2024-01-11,2543.030029296875,2557.300048828125,2540.27001953125,2540.27001953125,788400.0,,,,,,,0,0.0,-0.0006726885933950877,-0.0,0.9514796797451832,1.0
2024-01-12,2536.550048828125,2543.830078125,2517.760009765625,2525.050048828125,790200.0,,,,,,,0,0.0,-0.005991477514635801,-0.0,0.9457789106383571,1.0
2024-01-15,2525.68994140625,2536.06005859375,2515.840087890625,2525.989990234375,800000.0,,,,,,,0,0.0,0.00037224664385804296,0.0,0.9461309736636739,1.0
2024-01-16,2516.27001953125,2524.35009765625,2491.1298828125,2497.590087890625,659600.0,,,,,,,0,0.0,-0.011243077943121627,-0.0,0.9354935493823717,1.0
