ticker,start,end,buy_signals,sell_signals,final_active_signal,active_days_pct,buy_hold_return_pct,active_sleeve_return_pct,portfolio_return_pct,buy_hold_max_drawdown_pct,active_sleeve_max_drawdown_pct,portfolio_max_drawdown_pct,results_output,chart_output
005930.KS,2024-03-28,2026-05-12,14,13,1,36.06237816764132,266.555618133049,133.55743088693345,200.05652450999122,-42.8473994261658,-24.574083841267434,-24.636618117005483,005930_ks_ma20_ma60_macd_results.csv,005930_ks_ma20_ma60_macd_signals.png
000660.KS,2024-03-28,2026-05-12,17,16,1,38.59649122807017,1210.5013292482824,257.0496322634683,733.7754807558755,-36.597515665559875,-34.058633443618426,-27.981923378629325,000660_ks_ma20_ma60_macd_results.csv,000660_ks_ma20_ma60_macd_signals.png
^KS11,2024-03-28,2026-05-11,15,14,1,36.64717348927875,192.98864198957818,92.61646788370041,142.80255493663932,-20.67027949914596,-20.540579957202652,-19.613847177030173,ks11_ma20_ma60_macd_results.csv,ks11_ma20_ma60_macd_signals.png
