Date,Open,High,Low,Close,Volume,ma_short,ma_long,macd,macd_signal,macd_histogram,signal,position_change,active_position,total_exposure,market_return,active_return,market_equity,active_equity,portfolio_equity,portfolio_return,buy_hold_weight,active_weight
2023-01-03,263.55972174937557,265.03130035204026,257.16327086795667,259.46875,42335300,,,0.0,0.0,0.0,0,0.0,0,0.5,,,1.0,1.0,1.0,,0.5,0.5
2023-01-04,261.5878356449477,262.38248572216736,257.55569456855136,260.7048645019531,47754900,,,0.0986074246572457,0.01972148493144914,0.07888593972579656,0,0.0,0,0.5,0.004764020722931361,0.0,1.0047640207229314,1.0,1.0023820103614658,0.0023820103614657917,0.5,0.5
2023-01-05,259.0370983373102,259.20386048845717,256.3097737127626,256.6236877441406,45396700,,,-0.1508237352762194,-0.014387559110084568,-0.13643617616613482,0,0.0,0,0.5,-0.01565439434975302,-0.0,0.9890350485140912,1.0,0.9945175242570456,-0.007845797333876914,0.5,0.5
2023-01-06,258.3601609338397,264.825292792396,255.4071835674613,263.7068786621094,54659700,,,0.22051265122672703,0.032592482957277756,0.18792016826944927,0,0.0,0,0.5,0.027601469608023343,0.0,1.0163338693469228,1.0,1.0081669346734614,0.013724655507314942,0.5,0.5
2023-01-09,265.69845463653104,270.07397065961936,264.8057231435278,265.4139709472656,45568700,,,0.6451110548385941,0.15509619733354102,0.4900148575050531,0,0.0,0,0.5,0.00647344617560619,0.0,1.0229130519465857,1.0,1.0114565259732928,0.0032629430570414453,0.5,0.5
2023-01-10,264.38381092329047,267.76845379716315,263.8736744356486,267.6605224609375,35247800,,,1.1496340153990445,0.35400376094664177,0.7956302544524028,0,0.0,0,0.5,0.008464330289976507,0.0,1.0315713258761894,1.0,1.0157856629380948,0.004280101866598995,0.5,0.5
2023-01-11,268.72994189928977,272.39906904998867,267.9450818541206,272.2911376953125,44077000,,,1.9012081027353247,0.6634446293043783,1.2377634734309464,0,0.0,0,0.5,0.017300329506196865,0.0,1.0494178497229918,1.0,1.0247089248614958,0.008784591325684765,0.5,0.5
2023-01-12,272.8502932331982,274.7927877956512,268.5532788594756,273.7626647949219,60600000,,,2.585768787623067,1.047909460968116,1.537859326654951,0,0.0,0,0.5,0.005404241621906891,0.0,1.0550891573452368,1.0,1.0275445786726185,0.002767277362696996,0.5,0.5
2023-01-13,271.2609656966435,275.89153383124483,270.9274115015277,275.6462707519531,44802900,,,3.2428972206444655,1.486907012903386,1.7559902077410796,0,0.0,0,0.5,0.0068804340374253314,0.0,1.0623486286959534,1.0,1.0311743143479766,0.0035324362083122285,0.5,0.5
2023-01-17,275.4500758501751,277.4906816399172,274.2826210808861,276.20550537109375,36269700,,,3.7653966495169584,1.9426049402261005,1.8227917092908579,0,0.0,0,0.5,0.00202881257060028,0.0,1.0645039349482117,1.0,1.0322519674741057,0.0010450736709928243,0.5,0.5
2023-01-18,277.74572238568624,279.2958018979134,272.4088250315882,272.6148376464844,47754500,,,3.8454167636275542,2.3231673049063915,1.5222494587211628,0,0.0,0,0.5,-0.012999986078427894,-0.0,1.0506653986134533,1.0,1.0253326993067267,-0.006703080628957636,0.5,0.5
2023-01-19,270.9863178139879,272.1243422859905,268.7004787039163,269.93658447265625,44150400,,,3.650638346131018,2.588661513151317,1.0619768329797008,0,0.0,0,0.5,-0.009824311827447807,-0.0,1.040343334111165,1.0,1.0201716670555825,-0.00503351961234999,0.5,0.5
2023-01-20,271.5455000347287,277.65743727728545,270.48594668506337,277.3238830566406,60613600,,,4.045731628625276,2.8800755362461095,1.1656560923791668,0,0.0,0,0.5,0.027366792828086295,0.0,1.0688141946058658,1.0,1.034407097302933,0.013953955698884135,0.5,0.5
2023-01-23,278.1676065441461,284.7112093017604,277.3729564933935,283.4848937988281,52799900,,,4.800649084330928,3.264190245863073,1.5364588384678548,0,0.0,0,0.5,0.022215939984257194,0.0,1.0925589066075518,1.0,1.046279453303776,0.011477450253192023,0.5,0.5
