Date,Open,High,Low,Close,Volume,ma_short,ma_long,macd,macd_signal,macd_histogram,signal,position_change,active_position,total_exposure,market_return,active_return,market_equity,active_equity,portfolio_equity,portfolio_return,buy_hold_weight,active_weight
2023-01-03,118.47000122070312,118.80000305175781,104.63999938964844,108.0999984741211,231402800,,,0.0,0.0,0.0,0,0.0,0,0.5,,,1.0,1.0,1.0,,0.5,0.5
2023-01-04,109.11000061035156,114.58999633789062,107.5199966430664,113.63999938964844,180389000,,,0.44193739497083584,0.08838747899416717,0.3535499159766687,0,0.0,0,0.5,0.05124885285593783,0.0,1.0512488528559378,1.0,1.025624426427969,0.025624426427969027,0.5,0.5
2023-01-05,110.51000213623047,111.75,107.16000366210938,110.33999633789062,157986300,,,0.5199002114605236,0.17469002548743845,0.3452101859730851,0,0.0,0,0.5,-0.029039097760312105,-0.0,1.0207215346474383,1.0,1.0103607673237192,-0.01488230848538774,0.5,0.5
2023-01-06,103.0,114.38999938964844,101.80999755859375,113.05999755859375,220911100,,,0.7920375558152557,0.2981595315530019,0.4938780242622538,0,0.0,0,0.5,0.024651090365942707,0.0,1.045883433436496,1.0,1.022941716718248,0.012451937764620169,0.5,0.5
2023-01-09,118.95999908447266,123.5199966430664,117.11000061035156,119.7699966430664,190284000,,,1.5314950881215879,0.5448266428667191,0.9866684452548687,0,0.0,0,0.5,0.059349011404278285,0.0,1.1079555812550643,1.0,1.053977790627532,0.030340021725629107,0.5,0.5
2023-01-10,121.06999969482422,122.76000213623047,114.91999816894531,118.8499984741211,167642500,,,2.01999905479191,0.8398611252517574,1.1801379295401526,0,0.0,0,0.5,-0.007681374256751861,-0.0,1.099444959775587,1.0,1.0497224798877935,-0.004037381790753747,0.5,0.5
2023-01-11,122.08999633789062,125.94999694824219,120.51000213623047,123.22000122070312,183810800,,,2.7283143582661893,1.2175517718546438,1.5107625864115455,0,0.0,0,0.5,0.036769060182475055,0.0,1.1398705176688946,1.0,1.0699352588344473,0.01925535494754227,0.5,0.5
2023-01-12,122.55999755859375,124.12999725341797,117.0,123.55999755859375,169400900,,,3.2792925590732978,1.6298999292983747,1.649392629774923,0,0.0,0,0.5,0.0027592625752506095,0.0,1.14301571972893,1.0,1.071507859864465,0.0014698095207468231,0.5,0.5
2023-01-13,116.55000305175781,122.62999725341797,115.5999984741211,122.4000015258789,180714100,,,3.5810644851976576,2.0201328404782313,1.5609316447194264,0,0.0,0,0.5,-0.009388119582672827,-0.0,1.13228495146724,1.0,1.06614247573362,-0.0050073213009596,0.5,0.5
2023-01-17,125.69999694824219,131.6999969482422,125.0199966430664,131.49000549316406,186477000,,,4.501814151372557,2.5164691026570964,1.9853450487154602,0,0.0,0,0.5,0.07426473736900463,0.0,1.2163737960148306,1.0,1.1081868980074154,0.039436025888438975,0.5,0.5
